Volatility 3 Framework 2.5.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime
556	480	winlogon.exe	0xa48dfeecc080	4	-	1	False	2023-12-01 02:41:22.000000 	N/A
* 936	556	dwm.exe	0xa48dff1810c0	16	-	1	False	2023-12-01 02:41:22.000000 	N/A
* 2700	556	userinit.exe	0xa48e0006c340	0	-	1	False	2023-11-30 16:41:31.000000 	2023-11-30 16:42:02.000000 
** 2764	2700	explorer.exe	0xa48e00075340	51	-	1	False	2023-11-30 16:41:31.000000 	N/A
*** 904	2764	SecurityHealth	0xa48e00508080	1	-	1	False	2023-11-30 16:41:53.000000 	N/A
*** 4244	2764	msedge.exe	0xa48e00a020c0	41	-	1	False	2023-11-30 16:41:54.000000 	N/A
**** 4304	4244	msedge.exe	0xa48e00a40240	7	-	1	False	2023-11-30 16:41:54.000000 	N/A
**** 5364	4244	msedge.exe	0xa48e00bb7080	9	-	1	False	2023-11-30 16:41:55.000000 	N/A
**** 5340	4244	msedge.exe	0xa48e00c1b080	15	-	1	False	2023-11-30 16:41:55.000000 	N/A
**** 5328	4244	msedge.exe	0xa48e00c1a080	15	-	1	False	2023-11-30 16:41:55.000000 	N/A
*** 3332	2764	VBoxTray.exe	0xa48e00a42300	11	-	1	False	2023-11-30 16:41:54.000000 	N/A
* 708	556	fontdrvhost.ex	0xa48dff062140	5	-	1	False	2023-12-01 02:41:22.000000 	N/A
3248	6008	present.exe	0xa48e00a3b080	1	-	1	False	2023-11-30 16:42:41.000000 	N/A
* 5504	3248	conhost.exe	0xa48e00cfb080	4	-	1	False	2023-11-30 16:42:41.000000 	N/A
