Volatility 3 Framework 2.5.2

Offset	Name	Size
0xa48df8fa0890	\Windows\SysWOW64\winnsi.dll	216
0xa48df8fa0a20	\Windows\SysWOW64\DWrite.dll	216
0xa48df8fa0bb0	\Windows\SysWOW64\oleacc.dll	216
0xa48df8fa0d40	\Windows\SysWOW64\msv1_0.dll	216
0xa48df8fa0ed0	\Windows\SysWOW64\wdigest.dll	216
0xa48df8fa11f0	\Windows\SysWOW64\dnsapi.dll	216
0xa48df8fa1510	\Windows\SysWOW64\Chakra.dll	216
0xa48df8fa16a0	\Windows\SysWOW64\userenv.dll	216
0xa48df8fa1830	\Windows\System32\aeevts.dll	216
0xa48df8fa1b50	\Windows\SysWOW64\rsaenh.dll	216
0xa48df8fa1ce0	\Windows\SysWOW64\samcli.dll	216
0xa48df8fa2190	\Windows\SysWOW64\dsound.dll	216
0xa48df8fa2320	\Windows\SysWOW64\devrtl.dll	216
0xa48df8fa24b0	\Windows\SysWOW64\xmllite.dll	216
0xa48df8fa2640	\Windows\SysWOW64\wininet.dll	216
0xa48df8fa27d0	\Windows\SysWOW64\cryptui.dll	216
0xa48df8fa2960	\Windows\SysWOW64\sfc_os.dll	216
0xa48df8fa2c80	\Windows\SysWOW64\devobj.dll	216
0xa48df8fa2e10	\Windows\SysWOW64\winhttp.dll	216
0xa48df8fa3130	\Windows\SysWOW64\cabinet.dll	216
0xa48df8fa32c0	\Windows\SysWOW64\uxtheme.dll	216
0xa48df8fa3450	\Windows\SysWOW64\twinapi.dll	216
0xa48df8fa35e0	\Windows\SysWOW64\msfeeds.dll	216
0xa48df8fa3770	\Windows\SysWOW64\iertutil.dll	216
0xa48df8fa3900	\Windows\SysWOW64\IPHLPAPI.DLL	216
0xa48df8fa3a90	\ProgramData\Microsoft\Windows\AppRepository\Packages\windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat.LOG2	216
0xa48df8fa3c20	\Windows\System32\RuntimeBroker.exe	216
0xa48df8fa3db0	\Windows\SysWOW64\imgutil.dll	216
0xa48df8fa40d0	\Windows\SysWOW64\secur32.dll	216
0xa48df8fa4260	\Windows\SysWOW64\propsys.dll	216
0xa48df8fa43f0	\Windows\SysWOW64\rtutils.dll	216
0xa48df8fa4580	\ProgramData\Microsoft\Windows\AppRepository\Packages\windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat	216
0xa48df8fa4710	\Windows\SysWOW64\actxprxy.dll	216
0xa48df8fa48a0	\Windows\SysWOW64\mswsock.dll	216
0xa48df8fa4a30	\Windows\SysWOW64\msimg32.dll	216
0xa48df8fa4bc0	\Windows\SysWOW64\MP3DMOD.DLL	216
0xa48df8fa4d50	\Dev\Query	216
0xa48df8fa4ee0	\Windows\SysWOW64\jscript9.dll	216
0xa48df8fa5200	\Windows\SysWOW64\schannel.dll	216
0xa48df8fa5390	\Windows\SysWOW64\ntmarta.dll	216
0xa48df8fa5520	\Windows\SysWOW64\drvstore.dll	216
0xa48df8fa56b0	\Windows\SysWOW64\MrmCoreR.dll	216
0xa48df8fa5840	\Windows\SysWOW64\msftedit.dll	216
0xa48df8fa59d0	\Windows\SysWOW64\RTWorkQ.dll	216
0xa48df8fa5b60	\ProgramData\Microsoft\Windows\AppRepository\Packages\windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat.LOG1	216
0xa48df8fa5e80	\Dev\Query	216
0xa48df8fa61a0	\Windows\SysWOW64\mssprxy.dll	216
0xa48df8fa6330	\Windows\SysWOW64\MMDevAPI.dll	216
0xa48df8fa64c0	\Windows\SysWOW64\prnfldr.dll	216
0xa48df8fa6650	\Windows\SysWOW64\linkinfo.dll	216
0xa48df8fa6970	\Windows\SystemResources\Windows.UI.SettingsAppThreshold\pris\Windows.UI.SettingsAppThreshold.en-US.pri	216
0xa48df8fa6b00	\Windows\SysWOW64\edgehtml.dll	216
0xa48df8fa6c90	\Windows\SysWOW64\dhcpcsvc6.dll	216
0xa48df8fa6e20	\Windows\SysWOW64\Windows.UI.dll	216
0xa48df8fa7140	\Users\SANTAC~1\AppData\Local\Temp\chrome_PuffinComponentUnpacker_BeginUnzipping4244_837145869\json\wallet\README.md	216
0xa48df8fa72d0	\Windows\SysWOW64\BCP47Langs.dll	216
0xa48df8fa7460	\Windows\SysWOW64\UIAnimation.dll	216
0xa48df8fa75f0	\Windows\SysWOW64\dhcpcsvc.dll	216
0xa48df8fa7780	\$Directory	216
0xa48df8fa7910	\$Directory	216
0xa48df8fa7aa0	\Windows\SysWOW64\FWPUCLNT.DLL	216
0xa48df8fa7c30	\$Directory	216
0xa48df8fa7dc0	\$Directory	216
0xa48df8fa80e0	\$Directory	216
0xa48df8fa8270	\Windows\SysWOW64\FirewallAPI.dll	216
0xa48df8fa8400	\Windows\SysWOW64\AudioSes.dll	216
0xa48df8fa8590	\$Directory	216
0xa48df8fa8720	\Windows\SysWOW64\wbemcomn.dll	216
0xa48df8fa88b0	\Windows\SysWOW64\winmmbase.dll	216
0xa48df8fa8a40	\$Directory	216
0xa48df8fa8bd0	\$Directory	216
0xa48df8fa8d60	\Windows\SysWOW64\mfmp4srcsnk.dll	216
0xa48df8fa8ef0	\Windows\SysWOW64\d3d10warp.dll	216
0xa48df8fa9080	\Windows\SysWOW64\ncryptsslp.dll	216
0xa48df8fa93a0	\$Directory	216
0xa48df8fa9530	\Windows\SysWOW64\webservices.dll	216
0xa48df8fa99e0	\$Directory	216
0xa48df8fa9d00	\$Directory	216
0xa48df8fa9e90	\$Directory	216
0xa48df8faa980	\$Directory	216
0xa48df8fab600	\Windows\SysWOW64\MFMediaEngine.dll	216
0xa48df8fab790	\Windows\SysWOW64\WindowsCodecs.dll	216
0xa48df8fab920	\$Directory	216
0xa48df8fabdd0	\Windows\SysWOW64\twinapi.appcore.dll	216
0xa48df8fac280	\Windows\SysWOW64\Windows.UI.Xaml.dll	216
0xa48df8fac410	\$Directory	216
0xa48df8fac8c0	\$Directory	216
0xa48df8faca50	\$Directory	216
0xa48df8facbe0	\Windows\SysWOW64\UIAutomationCore.dll	216
0xa48df8facd70	\$Directory	216
0xa48df8fad090	\$Directory	216
0xa48df8fad220	\Windows\SysWOW64\WindowsCodecsExt.dll	216
0xa48df8fad540	\$Directory	216
0xa48df8fad6d0	\$Directory	216
0xa48df8fad860	\$Directory	216
0xa48df8fad9f0	\Windows\SysWOW64\OneCoreUAPCommonProxyStub.dll	216
0xa48df8fadb80	\$Directory	216
0xa48df8fadd10	\$Directory	216
0xa48df8fadea0	\$Directory	216
0xa48df8fae1c0	\$Directory	216
0xa48df8fae4e0	\$Directory	216
0xa48df8fae800	\$Directory	216
0xa48df8fae990	\Windows\SysWOW64\Windows.Graphics.dll	216
0xa48df8faeb20	\$Directory	216
0xa48df8faecb0	\$Directory	216
0xa48df8faee40	\$Directory	216
0xa48df8faf160	\$Directory	216
0xa48df8faf2f0	\$Directory	216
0xa48df8faf480	\$Directory	216
0xa48df8faf610	\Windows\SysWOW64\Windows.Media.MediaControl.dll	216
0xa48df8faf7a0	\Windows\SysWOW64\Windows.Networking.Connectivity.dll	216
0xa48df8fafc50	\$Directory	216
0xa48df8fb0100	\Windows\System32\chartv.dll	216
0xa48df8fb0290	\$Directory	216
0xa48df8fb0420	\$Directory	216
0xa48df8fb05b0	\$Directory	216
0xa48df8fb0740	\$Directory	216
0xa48df8fb08d0	\$Directory	216
0xa48df8fb0a60	\Windows\System32\en-US\zipfldr.dll.mui	216
0xa48df8fb0bf0	\Windows\SystemResources\Windows.UI.SettingsAppThreshold\SystemSettings\Assets\Fonts\SetMDL2.ttf	216
0xa48df8fb0d80	\;:0000000000023f7d\SANTA-FS\IPC$	216
0xa48df8fb10a0	\Windows\System32\rundll32.exe	216
0xa48df8fb1230	\Windows\System32\en-US\windows.ui.xaml.dll.mui	216
0xa48df8fb13c0	\Windows\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.19041.1288_none_91a663c8cc864906	216
0xa48df8fb1550	\Windows\SystemResources\Windows.UI.SettingsAppThreshold\SystemSettings\Assets\Fonts\SetMDL2.ttf	216
0xa48df8fb1a00	\Users\santaclaus\Desktop\present_for_santa\present_for_santa	216
0xa48df8fb1b90	\$Directory	216
0xa48df8fb1d20	\Windows\System32\Windows.System.UserProfile.DiagnosticsSettings.dll	216
0xa48df8fb1eb0	\ProgramData\Microsoft\Search\Data\Applications\Windows\edb.jtxjtx	216
0xa48df8fb21d0	\Windows\Fonts\segoeuil.ttf	216
0xa48df8fb24f0	\Windows\System32\twext.dll	216
0xa48df8fb2680	\$Directory	216
0xa48df8fb2810	\ProgramData\Microsoft\Search\Data\Applications\Windows\edbtmp.jtx	216
0xa48df8fb2b30	\$Directory	216
0xa48df8fb2cc0	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e	216
0xa48df8fb2e50	\Windows\SystemResources\Windows.UI.SettingsAppThreshold\SystemSettings\Assets\Fonts\MemMDL2.2.2.ttf	216
0xa48df8fb3170	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Printer Shortcuts	216
0xa48df8fb3300	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Printer Shortcuts	216
0xa48df8fb3490	\Windows\System32\zipfldr.dll	216
0xa48df8fb3620	\Windows\System32\en-US\twext.dll.mui	216
0xa48df8fb37b0	\Windows\SystemResources\zipfldr.dll.mun	216
0xa48df8fb3940	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\SendTo\desktop.ini	216
0xa48df8fb3ad0	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Network Shortcuts	216
0xa48df8fb3c60	\Users\santaclaus\AppData\Local\Microsoft\Windows\Burn	216
0xa48df8fb3df0	\Windows\System32\en-US\rundll32.exe.mui	216
0xa48df8fb4110	\Users\santaclaus\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned	216
0xa48df8fb42a0	\Users\santaclaus\Desktop\present_for_santa.zip	216
0xa48df8fb4430	\Windows\System32\en-US\zipfldr.dll.mui	216
0xa48df8fb45c0	\ProgramData\Microsoft\Windows\Start Menu\Programs	216
0xa48df8fb4750	\Windows\Prefetch\RUNDLL32.EXE-CF0EC82C.pf	216
0xa48df8fb48e0	\$Directory	216
0xa48df8fb4a70	\Users\santaclaus\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned	216
0xa48df8fb4c00	\Windows\System32\WorkFoldersShell.dll	216
0xa48df8fb4d90	\ProgramData\Microsoft\Windows\Start Menu\Programs	216
0xa48df8fb50b0	\ProgramData\Microsoft\Windows\Start Menu	216
0xa48df8fb5240	\ProgramData\Microsoft\Windows\Start Menu	216
0xa48df8fb53d0	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Start Menu\Programs	216
0xa48df8fb5560	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Start Menu	216
0xa48df8fb56f0	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Start Menu	216
0xa48df8fb5880	\Users\santaclaus\AppData\Local\Microsoft\Windows\Burn	216
0xa48df8fb5a10	\Windows\System32\winshfhc.dll	216
0xa48df8fb5ba0	\Program Files\WindowsPowerShell\Modules\Microsoft.PowerShell.Operation.Validation\1.0.1\Microsoft.PowerShell.Operation.Validation.psd1	216
0xa48df8fb5d30	\Windows\System32\tzres.dll	216
0xa48df8fb5ec0	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Start Menu\Programs	216
0xa48df8fb61e0	\Windows\WinSxS\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.19041.1_en-us_cb612d02732b0fd9	216
0xa48df8fb6500	\Users\Public\Desktop	216
0xa48df8fb6690	\Program Files\Windows Defender\en-US\shellext.dll.mui	216
0xa48df8fb69b0	\Windows\Fonts\StaticCache.dat	216
0xa48df8fb6b40	\Program Files\Common Files\microsoft shared\ink\tiptsf.dll	216
0xa48df8fb6cd0	\Windows\System32\en-US\FXSRESM.dll.mui	216
0xa48df8fb6e60	\Windows\System32\mydocs.dll	216
0xa48df8fb7180	\Users\santaclaus\Desktop	216
0xa48df8fb7310	\Windows\System32\fsquirt.exe	216
0xa48df8fb74a0	\Windows\System32\en-US\ntshrui.dll.mui	216
0xa48df8fb7630	\Windows\System32\sendmail.dll	216
0xa48df8fb7950	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Network Shortcuts	216
0xa48df8fb7ae0	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\SendTo\Bluetooth File Transfer.LNK	216
0xa48df8fb7c70	\Windows\System32\FXSRESM.dll	216
0xa48df8fb8120	\Windows\SystemResources\zipfldr.dll.mun	216
0xa48df8fb82b0	\Windows\System32\en-US\fsquirt.exe.mui	216
0xa48df8fb8440	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e	216
0xa48df8fb85d0	\$Directory	216
0xa48df8fb8760	\Windows\WinSxS\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.19041.1_en-us_cb612d02732b0fd9\comctl32.dll.mui	216
0xa48df8fb88f0	\Windows\System32\en-US\sendmail.dll.mui	216
0xa48df8fb8a80	\Program Files\Windows Defender\shellext.dll	216
0xa48df8fb8c10	\Users\Public\Desktop	216
0xa48df8fb8da0	\Program Files\Windows Defender\EppManifest.dll	216
0xa48df8fb90c0	\Users\santaclaus\Desktop	216
0xa48df8fb9250	\Windows\System32\en-US\crypt32.dll.mui	216
0xa48df8fb93e0	\Windows\System32\efscore.dll	216
0xa48df8fb9570	\Users\santaclaus\3D Objects\desktop.ini	216
0xa48df8fb9700	\Windows\System32\PlayToDevice.dll	216
0xa48df8fb9890	\Windows\System32\en-US\WFSR.dll.mui	216
0xa48df8fb9a20	\Windows\System32\WFS.exe	216
0xa48df8fb9bb0	\Windows\System32\EhStorAPI.dll	216
0xa48df8fb9d40	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e	216
0xa48df8fb9ed0	\Windows\System32\WindowsPowerShell\v1.0\Modules\AppLocker\AppLocker.psd1	216
0xa48df8fba1f0	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Libraries	216
0xa48df8fba510	\Users\santaclaus\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Input_{a882ecf4-f147-4acb-8463-f2a2f10d5f43}\apps.schema	216
0xa48df8fba830	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e	216
0xa48df8fba9c0	\Windows\System32\en-US\UIRibbon.dll.mui	216
0xa48df8fbab50	\Users\santaclaus\Desktop\present_for_santa	216
0xa48df8fbace0	\Windows\System32\Query.dll	216
0xa48df8fbae70	\Windows\System32\wshext.dll	216
0xa48df8fbb190	\Windows\System32\en-US\efscore.dll.mui	216
0xa48df8fbb320	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Libraries	216
0xa48df8fbb4b0	\Users\santaclaus\Desktop\present_for_santa	216
0xa48df8fbb640	\Windows\System32\wpdshext.dll	216
0xa48df8fbb7d0	\Users\santaclaus\Desktop\present_for_santa\present_for_santa	216
0xa48df8fbb960	\Windows\System32\dlnashext.dll	216
0xa48df8fbbaf0	\Users\santaclaus\AppData\Local\Microsoft\Edge\User Data\Default\Network\Cookies-journal	216
0xa48df8fbbe10	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Libraries\desktop.ini	216
0xa48df8fbc130	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\SendTo\Fax Recipient.lnk	216
0xa48df8fbc2c0	\Windows\System32\WFSR.dll	216
0xa48df8fbc450	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Libraries\Documents.library-ms	216
0xa48df8fbc5e0	\Users\santaclaus\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{d743bf3e-9d61-484c-9065-a9698d42ba01}\0.1.filtertrie.intermediate.txt	216
0xa48df8fbc770	\CMApi	216
0xa48df8fbca90	\Windows\System32\conhost.exe	216
0xa48df8fbcc20	\Windows\System32\en-US\shell32.dll.mui	216
0xa48df8fbcdb0	\Windows\System32\en-US\windows.storage.dll.mui	216
0xa48df8fbd0d0	\Windows\Prefetch\CONHOST.EXE-1F3E9D7E.pf	216
0xa48df8fbd3f0	\Program Files\Oracle\VirtualBox Guest Additions\VBoxDrvInst.exe	216
0xa48df8fbd710	\Windows\Prefetch\RUNTIMEBROKER.EXE-72C0C855.pf	216
0xa48df8fbd8a0	\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd	216
0xa48df8fbdee0	\Windows\System32\wscript.exe	216
0xa48df8fbe200	\Users\santaclaus\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{d743bf3e-9d61-484c-9065-a9698d42ba01}\0.0.filtertrie.intermediate.txt	216
0xa48df8fbe390	\Windows\System32\en-US\mpr.dll.mui	216
0xa48df8fbe520	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e	216
0xa48df8fbe6b0	\$Directory	216
0xa48df8fbe840	\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-wal	216
0xa48df8fbe9d0	\Users\santaclaus\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{d743bf3e-9d61-484c-9065-a9698d42ba01}\0.2.filtertrie.intermediate.txt	216
0xa48df8fbeb60	\Users\santaclaus\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Input_{a882ecf4-f147-4acb-8463-f2a2f10d5f43}\appsconversions.txt	216
0xa48df8fbf1a0	\Users\santaclaus\AppData\Local\Microsoft\Windows\Caches\{3DA71D5A-20CC-432F-A115-DFE92379E91F}.3.ver0x0000000000000006.db	216
0xa48df8fbf330	\Windows\System32	216
0xa48df8fbf4c0	\Windows\System32\en-US\wshext.dll.mui	216
0xa48df8fbf650	\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm	216
0xa48df8fbf970	\Windows\System32\vcruntime140.dll	216
0xa48df8fbfb00	\Endpoint	216
0xa48df8fbfc90	\Windows\WinSxS\FileMaps\$$_system32_windowspowershell_v1.0_3f102d555ee05d33.cdf-ms	216
0xa48df8fc02d0	\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb	216
0xa48df8fc0460	\Windows\System32\sfc.dll	216
0xa48df8fc05f0	\$Directory	216
0xa48df8fc0c30	\$Directory	216
0xa48df8fc0dc0	\Windows\System32\winevt\Logs\Microsoft-Windows-Bits-Client%4Operational.evtx	216
0xa48df8fc1400	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\7e4dca80246863e3.customDestinations-ms	216
0xa48df8fc1590	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\f01b4d95cf55d32a.customDestinations-ms	216
0xa48df8fc1720	\Windows\System32\en-US\Conhost.exe.mui	216
0xa48df8fc1a40	\Windows\Microsoft.NET\Framework64\v4.0.30319\clrjit.dll	216
0xa48df8fc1bd0	\Windows\System32\acppage.dll	216
0xa48df8fc1d60	\Windows\SystemResources\imageres.dll.mun	216
0xa48df8fc1ef0	\Output	216
0xa48df8fc2080	\Windows\System32\msi.dll	216
0xa48df8fc2210	\Program Files\WindowsPowerShell\Modules\PackageManagement\1.0.0.1\PackageManagement.psd1	216
0xa48df8fc2530	\Input	216
0xa48df8fc2850	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e	216
0xa48df8fc29e0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Features-Package0213~31bf3856ad364e35~amd64~~10.0.19041.1237.cat	216
0xa48df8fc2b70	\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb	216
0xa48df8fc2d00	\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb.jfm	216
0xa48df8fc34d0	\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb	216
0xa48df8fc3660	\Users\santaclaus\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\ccba5a5986c77e43.customDestinations-ms	216
0xa48df8fc37f0	\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\7688492d89951deaadab62ea3b59fb6d\System.Management.Automation.ni.dll.aux	216
0xa48df8fc3b10	\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Management.Automation\v4.0_3.0.0.0__31bf3856ad364e35\System.Management.Automation.dll	216
0xa48df8fc3e30	\Windows\Media\Windows User Account Control.wav	216
0xa48df8fc4150	\$Directory	216
0xa48df8fc4470	\Windows\assembly\NativeImages_v4.0.30319_64\System\808887ebadf1a37835b907c866cede3c\System.ni.dll.aux	216
0xa48df8fc4600	\Windows\Fonts\consola.ttf	216
0xa48df8fc4790	\ProgramData\Microsoft\Crypto\RSA\S-1-5-18\aa49cdad2bb42ac951f93151e2e74d78_b06a2257-95b8-40c5-a51f-2b57b817769d	216
0xa48df8fc4ab0	\Windows\System32\en-US\Conhost.exe.mui	216
0xa48df8fc4c40	\Windows\Microsoft.NET\assembly\GAC_MSIL\System\v4.0_4.0.0.0__b77a5c561934e089\System.dll	216
0xa48df8fc4dd0	\Windows\assembly\NativeImages_v4.0.30319_64\System.Core\11723c46cea53a98c07435785eae2ca8\System.Core.ni.dll.aux	216
0xa48df8fc5410	\Windows\System32\WindowsPowerShell\v1.0\Modules\Defender\MSFT_MpThreat.cdxml	216
0xa48df8fc55a0	\Windows\System32\BitsProxy.dll	216
0xa48df8fc5730	\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnosis-DPS%4Operational.evtx	216
0xa48df8fc5a50	\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb	216
0xa48df8fc5be0	\Windows\System32\en-US\WsmRes.dll.mui	216
0xa48df8fc5d70	\Windows\System32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1	216
0xa48df8fc6090	\$Directory	216
0xa48df8fc6220	\$Directory	216
0xa48df8fc63b0	\Windows\System32\vcruntime140_clr0400.dll	216
0xa48df8fc6540	\Windows\System32\ucrtbase_clr0400.dll	216
0xa48df8fc66d0	\Windows\Microsoft.NET\Framework64\v4.0.30319\Config\machine.config	216
0xa48df8fc69f0	\Windows\Microsoft.NET\Framework64\v4.0.30319\clr.dll	216
0xa48df8fc6b80	\$Directory	216
0xa48df8fc6d10	\Users\SANTAC~1\AppData\Local\Temp\chrome_PuffinComponentUnpacker_BeginUnzipping4244_837145869\manifest.json	216
0xa48df8fc6ea0	\$Directory	216
0xa48df8fc71c0	\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Core\v4.0_4.0.0.0__b77a5c561934e089\System.Core.dll	216
0xa48df8fc7800	\Users\SANTAC~1\AppData\Local\Temp\edge_BITS_4244_905087534\873489b1-33	216
0xa48df8fc7990	\$Directory	216
0xa48df8fc7b20	\$Directory	216
0xa48df8fc7cb0	\Windows\System32\WindowsPowerShell\v1.0\Modules\Defender\MSFT_MpThreatCatalog.cdxml	216
0xa48df8fc7e40	\Windows\Microsoft.NET\Framework64\v4.0.30319\mscoreei.dll	216
0xa48df8fc8160	\Windows\servicing\InboxFodMetadataCache\metadata\Language.OCR~nl-nl~1.0.mum	216
0xa48df8fc8480	\Windows\System32\InputCloudStore.dll	216
0xa48df8fc8c50	\Windows\System32\mscoree.dll	216
0xa48df8fc8de0	\Windows\System32\AppxSip.dll	216
0xa48df8fc9100	\Windows\Microsoft.NET\assembly\GAC_MSIL\System.DirectoryServices\v4.0_4.0.0.0__b03f5f7f11d50a3a\System.DirectoryServices.dll	216
0xa48df8fc9290	\$Directory	216
0xa48df8fc9420	\Windows\Logs\WindowsUpdate\WindowsUpdate.20231130.085644.409.1.etl	216
0xa48df8fc95b0	\Windows\System32\WiFiCloudStore.dll	216
